Assignment Province,total_count,avg_points,median_points,rank1_count,rank1_rate
إقليمغ ΁سفي,101,320.66336633663366,271.0,30,0.297029702970297
إقليمغ تيزنيت,32,311.0625,75.5,9,0.28125
عمالةغ مراكش,194,281.9845360824742,94.0,76,0.3917525773195876
ملول عمالةغ إنزكان ايت,52,269.38461538461536,73.0,17,0.3269230769230769
إقليمغ تطوان,140,268.64285714285717,78.5,47,0.3357142857142857
إقليمغ بني مالل,100,256.82,83.5,25,0.25
وتنان عمالةغ أكادير  إدا,85,229.95294117647057,85.0,40,0.47058823529411764
إقليمغ الجديدة,123,217.22764227642276,82.0,43,0.34959349593495936
إقليمغ تازة,73,214.63013698630138,81.0,26,0.3561643835616438
عمالةغ وجدة - أنكاد,182,213.6868131868132,73.0,87,0.47802197802197804
إقليمغ خريبكة,93,212.44086021505376,79.0,37,0.3978494623655914
إقليمغ الصويرة,45,197.24444444444444,42.0,11,0.24444444444444444
إقليمغ خنيفرة,30,193.93333333333334,83.0,8,0.26666666666666666
إقليمغ تارودانت,82,186.5609756097561,49.0,30,0.36585365853658536
عمالةغ مكناس,283,184.46996466431096,74.0,118,0.4169611307420495
إقليمغ ورزازات,64,181.28125,68.0,27,0.421875
الفنيدق عمالةغ المضيق -,86,176.45348837209303,64.0,39,0.45348837209302323
إقليمغ سيدي افني,25,174.96,64.0,9,0.36
إقليمغ الحسيمة,185,166.96216216216217,62.0,80,0.43243243243243246
إقليمغ سطات,190,160.3842105263158,51.0,79,0.41578947368421054
إقليمغ وزان,29,156.75862068965517,41.0,7,0.2413793103448276
عمالةغ فاس,334,156.41017964071855,61.0,104,0.31137724550898205
البرنوصي عمالة مقاطعات سيدي,30,153.23333333333332,52.5,7,0.23333333333333334
إقليمغ القنيطرة,147,136.58503401360545,52.0,41,0.2789115646258503
إقليمغ قلعة  السراغنة,228,133.78070175438597,49.0,82,0.35964912280701755
الحسني عمالة مقاطعة الحي,63,129.61904761904762,54.0,40,0.6349206349206349
إقليمغ سيدي قاسم,118,124.8135593220339,41.0,66,0.559322033898305
إقليمغ صفرو,160,124.625,55.0,48,0.3
عمالةغ الرباط,30,119.8,62.5,10,0.3333333333333333
إقليمغ كلميم,68,119.23529411764706,47.0,26,0.38235294117647056
إقليمغ العرائش,164,118.4939024390244,50.5,43,0.2621951219512195
إقليمغ الحاجب,100,116.43,51.0,30,0.3
عمالةغ سال,138,110.6376811594203,52.5,36,0.2608695652173913
إقليمغ الرشيدية,193,109.5440414507772,53.0,86,0.44559585492227977
إقليمغ ميدلت,88,107.77272727272727,46.5,25,0.2840909090909091
إقليمغ النواصر,131,106.55725190839695,47.0,61,0.46564885496183206
رشيد عمالة مقاطعات موالي,41,104.21951219512195,45.0,25,0.6097560975609756
إقليمغ شتوكة ΁يت باها,228,104.0657894736842,53.0,62,0.2719298245614035
إقليمغ الفقيﻪ بن صالح,43,103.44186046511628,53.0,5,0.11627906976744186
إقليمغ إفران,79,96.25316455696202,43.0,25,0.31645569620253167
إقليمغ الخميسات,89,96.24719101123596,44.0,23,0.25842696629213485
إقليمغ الحوز,156,95.01923076923077,41.0,44,0.28205128205128205
إقليمغ برشيد,113,93.46902654867256,51.0,34,0.3008849557522124
إقليمغ مديونة,90,88.35555555555555,54.0,40,0.4444444444444444
عمالةغ طنجة - أصيال,270,85.64074074074074,51.0,109,0.40370370370370373
إقليمغ الناضور,172,85.5,50.0,72,0.4186046511627907
إقليمغ بركان,153,85.27450980392157,54.0,56,0.3660130718954248
إقليمغ شيشاوة,154,83.84415584415585,45.0,56,0.36363636363636365
الشق عمالة مقاطعة عين,43,82.97674418604652,55.0,23,0.5348837209302325
إقليمغ العيون,29,81.03448275862068,52.0,6,0.20689655172413793
إقليمغ سيدي سليمان,95,80.8,47.0,50,0.5263157894736842
إقليمغ بولمان,49,78.55102040816327,42.0,21,0.42857142857142855
إقليمغ أزيالل,80,75.2875,47.0,28,0.35
إقليمغ موالي يعقوب,142,72.3943661971831,48.5,32,0.22535211267605634
إقليمغ تنغير,81,72.28395061728395,41.0,24,0.2962962962962963
عمالةغ المحمدية,137,70.77372262773723,49.0,61,0.44525547445255476
إقليمغ زاكورة,50,69.42,44.0,11,0.22
تمارة عمالةغ الصخيرات  -,93,68.23655913978494,47.0,22,0.23655913978494625
السبϊ الحي المحمد عمالة مقاطعات عين,3,68.0,75.0,2,0.6666666666666666
إقليمغ شفشاون,72,67.36111111111111,42.0,27,0.375
إقليمغ اليوسفية,17,65.88235294117646,47.0,8,0.47058823529411764
إقليمغ طانطان,8,65.75,60.5,2,0.25
إقليمغ جرادة,54,64.9074074074074,47.0,12,0.2222222222222222
إقليمغ تاونات,210,63.8,42.0,100,0.47619047619047616
إقليمغ الرحامنة,85,61.21176470588235,45.0,21,0.24705882352941178
إقليمغ تاوريرت,77,60.116883116883116,52.0,26,0.33766233766233766
إقليمغ بوجدور,15,59.0,63.0,9,0.6
إقليمغ السمارة,4,59.0,63.0,2,0.5
إقليمغ جرسيف,45,58.91111111111111,47.0,17,0.37777777777777777
إقليمغ فجيΞ,36,57.861111111111114,47.5,17,0.4722222222222222
مرس السلطان عمالة مقاطعات الفدا˯,15,57.333333333333336,53.0,5,0.3333333333333333
إقليمغ وادي الذهب,13,56.23076923076923,46.0,1,0.07692307692307693
إقليمغ طرفاية,2,54.5,54.5,1,0.5
إقليمغ سيدي بنور,88,52.56818181818182,41.0,41,0.4659090909090909
إقليمغ بنسليمان,16,50.75,46.0,4,0.25
إقليمغ الدريوش,80,49.2625,42.0,29,0.3625
مسيϙ عمالة مقاطعات ابن,4,45.75,46.5,1,0.25
إقليمغ أسا - الزاϙ,7,43.714285714285715,41.0,1,0.14285714285714285
إقليمغ فحص - انجرة,39,39.15384615384615,41.0,15,0.38461538461538464
البيضا˯ أنفا عمالة مقاطعات الدار,16,37.1875,21.5,9,0.5625
إقليمغ طاطا,12,36.916666666666664,32.5,6,0.5
